display,address,zip_code
"370 FT WASHINGTON AVE, 10033",370 FT WASHINGTON AVE,10033
"2588 7 AVE, 10039",2588 7 AVE,10039
"25 HILLSIDE AVE, 10040",25 HILLSIDE AVE,10040
"225 CENTRAL PARK N, 10026",225 CENTRAL PARK N,10026
"241 SHERMAN AVE, 10034",241 SHERMAN AVE,10034
"15 COOPER ST, 10034",15 COOPER ST,10034
"227 HAVEN AVE, 10033",227 HAVEN AVE,10033
"76 ST NICHOLAS PL, 10032",76 ST NICHOLAS PL,10032
"111 E 100 ST, 10029",111 E 100 ST,10029
"1 MARBLE HILL AVE, 10463",1 MARBLE HILL AVE,10463
"635 RIVERSIDE DR, 10031",635 RIVERSIDE DR,10031
"700 ESPLANADE GDNS PLAZA, 10039",700 ESPLANADE GDNS PLAZA,10039
"292 W 147 ST, 10039",292 W 147 ST,10039
"503 W 133 ST, 10027",503 W 133 ST,10027
"136 W 28 ST, 10001",136 W 28 ST,10001
"107 E 126 ST, 10035",107 E 126 ST,10035
"410 ST NICHOLAS AVE, 10027",410 ST NICHOLAS AVE,10027
"34 HILLSIDE AVE, 10040",34 HILLSIDE AVE,10040
"2890 FREDERICK DOUGLASS BLVD, 10039",2890 FREDERICK DOUGLASS BLVD,10039
"720 RIVERSIDE DR, 10031",720 RIVERSIDE DR,10031
"53 W 104 ST, 10025",53 W 104 ST,10025
"609 W 189 ST, 10040",609 W 189 ST,10040
"1272 AMSTERDAM AVE, 10027",1272 AMSTERDAM AVE,10027
"24 MT MORRIS PARK W, 10027",24 MT MORRIS PARK W,10027
"1356 ST NICHOLAS AVE, 10033",1356 ST NICHOLAS AVE,10033
"111 SULLIVAN ST, 10012",111 SULLIVAN ST,10012
"310 W 4 ST, 10014",310 W 4 ST,10014
"43 GROVE ST, 10014",43 GROVE ST,10014
"215 W 115 ST, 10026",215 W 115 ST,10026
"58 2 AVE, 10003",58 2 AVE,10003
